nome,grupo_muscular_principal,equipamento,dificuldade,gif_url,publico
Rosca Direta no Banco Scort,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-direta-no-banco-scort.gif,true
Rosca Direta no Cross Barra W,biceps,barra,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-direta-no-cross-barra-w.gif,true
Rosca Direta pegada Fechada Barra W,biceps,barra,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-direta-pegada-fechada-barra-w.gif,true
Rosca Inclinada no Cabo,biceps,polia,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-inclinada-no-cabo.gif,true
Rosca Inversa,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-inversa.gif,true
Rosca Inversa com Halteres,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-inversa-com-halteres.gif,true
Rosca Inversa no Cabo,biceps,polia,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-inversa-no-cabo.gif,true
Rosca Lateral,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-lateral.gif,true
Rosca Lateral Polia Alta,biceps,polia,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-lateral-polia-alta.gif,true
Rosca Lateral no Cabo,biceps,polia,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-lateral-no-cabo.gif,true
Rosca Martelo,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-martelo.gif,true
Rosca Martelo Alternada,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-martelo-alternada.gif,true
Rosca Martelo Corda,biceps,polia,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-martelo-corda.gif,true
Rosca Martelo Scott,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-martelo-scott.gif,true
Rosca Martelo Suporte Braquial,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-martelo-suporte-braquial.gif,true
